date,symbol,open,high,low,close,volume
2026-01-02,DEMO,100.0,102.0,99.0,101.0,1000000
2026-01-05,DEMO,101.0,103.0,100.0,102.5,1080000
2026-01-06,DEMO,102.5,104.0,101.5,103.2,1120000
2026-01-07,DEMO,103.2,105.0,102.0,104.1,1180000
2026-01-08,DEMO,104.1,106.0,103.5,105.4,1210000
2026-01-09,DEMO,105.4,107.5,104.6,106.8,1260000
2026-01-12,DEMO,106.8,108.0,105.5,107.1,1300000
2026-01-13,DEMO,107.1,109.0,106.2,108.4,1370000
2026-01-14,DEMO,108.4,110.5,107.8,109.7,1410000
2026-01-15,DEMO,109.7,111.2,108.9,110.1,1450000
